iteration,Train Hybrid,Test Hybrid
1,0.374971904,0.201797753
2,0.768262531,0.201797753
3,0.767194875,0.203595506
4,0.783378287,0.319550562
5,0.826534053,0.478651685
6,0.830636098,0.479325843
7,0.830748483,0.480898876
8,0.834232412,0.493033708
9,0.834288604,0.493033708
10,0.834063835,0.494606742
11,0.835019105,0.494606742
12,0.83698584,0.51011236
13,0.838615419,0.510337079
14,0.838952574,0.517303371
15,0.838952574,0.517303371
16,0.839121151,0.517303371
17,0.839121151,0.517303371
18,0.839233536,0.518876404
19,0.840020229,0.521348315
20,0.840020229,0.521348315
21,0.840020229,0.521348315
22,0.840244999,0.521348315
23,0.840244999,0.521348315
24,0.840244999,0.521348315
25,0.840244999,0.521348315
26,0.840244999,0.521348315
27,0.840244999,0.521348315
28,0.840188806,0.521348315
29,0.84120027,0.521348315
30,0.84120027,0.521348315
31,0.84120027,0.521348315
32,0.84120027,0.521348315
33,0.84120027,0.521348315
34,0.84120027,0.521348315
35,0.841312655,0.521348315
36,0.841312655,0.521348315
37,0.841312655,0.521348315
38,0.841312655,0.520449438
39,0.841312655,0.520449438
40,0.841312655,0.520674157
41,0.841312655,0.520674157
42,0.841312655,0.520674157
43,0.841312655,0.520674157
44,0.841312655,0.520674157
45,0.841312655,0.520674157
46,0.841312655,0.520674157
47,0.841312655,0.520674157
48,0.841425039,0.520674157
49,0.841425039,0.520674157
50,0.841425039,0.520674157
51,0.841425039,0.520674157
52,0.841425039,0.520674157
53,0.841481232,0.520674157
54,0.841481232,0.520674157
55,0.841481232,0.520449438
56,0.841481232,0.520449438
57,0.841481232,0.520449438
58,0.841481232,0.520449438
59,0.841481232,0.520449438
60,0.841481232,0.520449438
61,0.841481232,0.520449438
62,0.841481232,0.520449438
63,0.841481232,0.520449438
64,0.841481232,0.520449438
65,0.841481232,0.520449438
66,0.841481232,0.520449438
67,0.841537424,0.520674157
68,0.841537424,0.520674157
69,0.841593617,0.520674157
70,0.841593617,0.520674157
71,0.841593617,0.520674157
72,0.841593617,0.520674157
73,0.841593617,0.520674157
74,0.841593617,0.520674157
75,0.841593617,0.520674157
76,0.841593617,0.520674157
77,0.841593617,0.520674157
78,0.841593617,0.520674157
79,0.841593617,0.520674157
80,0.841593617,0.520674157
81,0.841593617,0.520674157
82,0.841593617,0.520674157
83,0.841593617,0.520674157
84,0.841593617,0.520674157
85,0.841593617,0.520674157
86,0.841593617,0.520674157
87,0.841593617,0.520674157
88,0.841593617,0.520674157
89,0.841593617,0.520674157
90,0.841593617,0.520674157
91,0.841593617,0.520674157
92,0.841593617,0.520674157
93,0.841818386,0.520674157
94,0.841818386,0.520674157
95,0.841818386,0.520674157
96,0.841818386,0.520674157
97,0.841818386,0.520674157
98,0.841818386,0.520674157
99,0.841818386,0.520674157
100,0.841818386,0.520674157
