iteration	accuracy
0	0
1	0.625028096
2	0.866992583
3	0.882670263
4	0.892672511
5	0.900820409
6	0.907226343
7	0.912115082
8	0.915992358
9	0.918689593
10	0.922004945
11	0.924533603
12	0.927006069
13	0.928691841
14	0.930939537
15	0.933299618
16	0.93476062
17	0.936221623
18	0.937851203
19	0.938975051
20	0.940267476
21	0.940997977
22	0.941897056
23	0.942683749
24	0.944257136
25	0.945324792
26	0.946223871
27	0.947403911
28	0.948415374
29	0.94925826
30	0.950382108
31	0.950831648
32	0.951393572
33	0.95206788
34	0.952573612
35	0.953247921
36	0.953978422
37	0.954540346
38	0.955158463
39	0.955608002
40	0.956900427
41	0.95791189
42	0.958642392
43	0.959372893
44	0.959934817
45	0.960215779
46	0.960890088
47	0.961845359
48	0.962013936
49	0.962463475
50	0.963137784
51	0.963531131
52	0.963924477
53	0.964205439
54	0.964654979
55	0.964992133
56	0.965441672
57	0.965891212
58	0.966228366
59	0.966958867
60	0.967464599
61	0.968026523
62	0.968307485
63	0.96841987
64	0.968588447
65	0.968588447
66	0.968757024
67	0.969262756
68	0.969656102
69	0.970330411
70	0.970386604
71	0.970948528
72	0.970948528
73	0.971173297
74	0.97122949
75	0.971510452
76	0.971791414
77	0.972016183
78	0.972521915
79	0.972802877
80	0.973308609
81	0.973533378
82	0.973870533
83	0.974095302
84	0.974601034
85	0.974938188
86	0.975050573
87	0.975275343
88	0.975612497
89	0.975724882
90	0.976005844
91	0.976118229
92	0.976286806
93	0.976736345
94	0.977017307
95	0.977579231
96	0.977972578
97	0.97847831
98	0.978815464
99	0.979265003
100	0.979489773
