http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&refinements%3D4294965216%2C4226526127%26queryText%3Dstandards,6/29/17 15:42,,,,,,,,,,,,,,,text,,,,,,,,,,,,,,,
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,Category
IEEE Standard for Local and metropolitan area networks--Bridges and Bridged Networks--Amendment 29: Cyclic Queuing and Forwarding,,,"IEEE 802.1Qch-2017 (Amendment to IEEE Std 802.1Q-2014 as amended by IEEE Std 802.1Qca-2015, IEEE Std 802.1Qcd(TM)-2015, IEEE Std 802.1Q-2014/Cor 1-2015, IEEE Std 802.1Qbv-2015, IEEE Std 802.1Qbu-2016, IEEE Std 802.1Qbz-2016, and IEEE Std 802.1Qci-2017)",20170628,2017,,,1,30,The use of traffic scheduling and per-stream filtering and policing to support cyclic queuing and forwarding are described in this amendment to IEEE Std 802.1Q-2014.,,Electronic:978-1-5044-4095-0,10.1109/IEEESTD.2017.7961303,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7961303,Bridged Local Area Networks;IEEE 802(R);IEEE 802.1Q(TM);IEEE 802.1Qbv(TM);IEEE 802.1Qch(TM);IEEE 802.1Qci(TM);IEEE Std 802.1Qbu(TM);MAC Bridges;Virtual Bridged Local Area Networks (virtual LANs);cyclic queuing and forwarding (CQF);local area networks (LANs);metropolitan area networks;scheduled traffic,Bridged circuits;IEEE Standards;Local area networks;Media Access Protocol;Metropolitan area networks;Queueing analysis;Telecommunication traffic,,,,,,,,,,June 28 2017,,IEEE,IEEE Standards,networks
ISO/IEC/IEEE International Standard - Systems and Software Engineering--Life Cycle Management--Part 5: Software Development Planning,,,ISO/IEC/IEEE 24748-5:2017(E),20170622,2017,,,1,48,"ISO/IEC/IEEE 24748 provides unified and consolidated guidance on the life cycle management of systems and software. This document focuses on the processes required for successful planning and management of the project's software development effort and for development of the software development plan (SDP) as a vehicle for representing a project's application of software life cycle processes. The SDP is a top level technical planning document for a project which addresses technical management processes established by three principal sources (the project s contract, applicable organizational and technical management processes, and the software development project team) as necessary to successfully accomplish the software development related tasks of the project.",,Electronic:978-1-5044-3653-3,10.1109/IEEESTD.2017.7955095,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7955095,24748;Software planning;software development plan;software life cycle;technical management;technical planning processes,IEC Standards;IEEE Standards;ISO Standards;Management;Planning;Product life cycle management;Software development;Software engineering,,,,,,,,,,June 23 2017,,IEEE,IEEE Standards,software
IEEE Standard Profile for Use of IEEE 1588 Precision Time Protocol in Power System Applications,,,IEEE Std C37.238-2017 (Revision of IEEE Std C37.238-2011),20170619,2017,,,1,42,"An extended profile is specified for the use of Precision Time Protocol of IEEE Std 1588-2008 in power system protection, control, automation, and data communication applications utilizing an Ethernet communications architecture.",,Electronic:978-1-5044-2326-7,10.1109/IEEESTD.2017.7953616,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7953616,IEEE 1588(TM);IEEE C37.238(TM);PTP;Precision Time Protocol;grandmaster clock;power substation;precise time synchronization;sample synchronization;slave-only clock;synchrophasors;transparent clock,Clocks;IEEE Standards;Power system relaying;Protocols;Substations;Synchronization;Synchrophasors;Timing analysis,,,,,,,,,,June 19 2017,,IEEE,IEEE Standards,
IEEE Standard for a Precision Clock Synchronization Protocol for Networked Measurement and Control Systems - Redline,,,IEEE Std 1588-2008 (Revision of IEEE Std 1588-2002) - Redline,20170615,2008,,,1,300,"This standard defines a protocol enabling precise synchronization of clocks in measurement and control systems implemented with technologies such as network communication, local computing and distributed objects. The protocol is applicable to systems communicating by local area networks supporting multicast messaging including but not limited to Ethernet. The protocol enables heterogeneous systems that include clocks of various inherent precision, resolution, and stability to synchronize to a grandmaster clock. The protocol supports system-wide synchronization accuracy in the sub-microsecond range with minimal network and local clock computing resources. The default behavior of the protocol allows simple systems to be installed and operated without requiring the administrative attention of users. The standard includes mappings to UDP/IP, DeviceNet and a layer-2 Ethernet implementation.An Interpretation is available at http://standards.ieee.org/reading/ieee/interp/1588-2008.html",,Electronic:978-1-5044-4133-9,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7949184,1588-2008;boundary clock;clock;distributed system;master clock;measurement and control system;real-time clock;synchronized clock;transparent clock,Clocks;Control systems;Distributed processing;IEEE Standards;Measurement standards;Synchronization,,,,,,,,,,July 24 2008,,IEEE,IEEE Standards,system
"American National Standard Calibration and Usage of ""Dose Calibrator"" Ionization Chambers for the Assay of Radionuclides",,,ANSI N42.13-2004 (Reaffirmation of ANSI N42.13-1986),20170615,2004,,,1,13,The wide range of calibrator-type instruments currently being used primarily for radionuclide assay in nuclear medicine indicates the need for a standard for uniformity in measurement and test techniques. Such devices are composite systems consisting of an ionization chamber integrally coupled to appropriate electronic circuitry that converts the ionization current to a readout in units of activity. The principles of operation of the ionization chamber are well summarized in the NCRP Report No 58 [1] 1 and will not be repeated here. Wide activity range and stability are useful characteristics of ionization chambers in this application. The advantages of this type of system for radionuclide assay include ease of use and interpretation.,,Electronic:978-1-5044-4069-1,10.1109/IEEESTD.2004.7949161,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7949161,,ANSI Standards;Calibration;Current measurment;Instruments;Interconnected systems;Ionization chambers;Nuclear measurements;Nuclear medicine,,,,,,,,,,Dec. 2 2004,,IEEE,IEEE Standards,
IEEE Standard for Measurement of Radio Noise Generated by Motor Vehicles and Affecting Mobile Communications Receivers in the Frequency Range 25-1000 megahertz,,,IEEE Std 263-1965,20170614,1965,,,1,10,,,Electronic:978-1-5044-0234-7,10.1109/IEEESTD.1965.7948691,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7948691,,Frequency measurement;IEEE Standards;Mobile communication;Noise measurement;Receivers,,,,,,,,,,Nov. 29 1965,,IEEE,IEEE Standards,
IEEE Standard for Green Smart Home and Residential Quarter Control Network Protocol,,,IEEE Std 1888.4-2016,20170608,2017,,,1,32,"Protocols are provided for measurement and control networks for home and residential quarters so that they can achieve green, smarter functions. The interactive data format between devices and systems--as well as the standardized definitions of the sensor, actuator, and equipment, together with the data communication processes--are specified. The data format definition for configuration and management-oriented functions; the data format definition for deployment and ontrol-oriented functions; and the method definition for conformance tests and interoperability tests are also included.",,Electronic:978-1-5044-3610-6,10.1109/IEEESTD.2017.7944739,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7944739,IEEE 1888.4(TM);actuators;application (APP);communication protocol;component;data;energy saving;gateway (GW);linkage;management of energy;registry;remote control;scene;sensors;smart home;storage;timer,Actuators;Energy efficiency;Energy management;Green design;IEEE Standards;Smart buildings;Smart cities;Wireless sensor networks,,,,,,,,,,June 16 2017,,IEEE,IEEE Standards,management
ISO/IEC/IEEE International Standard - Systems and software engineering -- Content of life-cycle information items (documentation),,,ISO/IEC/IEEE 15289:2017(E),20170607,2017,,,1,97,"The purpose and content of all identified systems and software life cycle andservice management information items (documentation) are specified in this document.The information item contents are defined according to generic document types(description, plan, policy, procedure, report, request, and specification) and the specificpurpose of the document. This document provides a mapping of ISO/IEC/IEEE15288:2015, ISO/IEC 12207:2008 (IEEE Std 12207äóê2008), ISO/IEC 20000äóê1:2011 (IEEEStd 20000äóê1:2013), and ISO/IEC 20000äóê2 (IEEE Std 20000äóê2:2013) clauses with a set ofinformation items. This document identifies records and information items based onanalysis of references in ISO/IEC/IEEE 15288:2015, ISO/IEC 12207:2008 (IEEE Std12207äóê2008), ISO/IEC 20000äóê1:2011 (IEEE Std 20000äóê1:2013) and ISO/IEC 20000äóê2:2012 (IEEE 20000äóê2:2013), which in some cases provide partial or complete outlines for the content of specific documents. Information items may be combined or subdivided as needed for project or organizational purposes.",,Electronic:978-1-5044-4076-9,10.1109/IEEESTD.2017.7942151,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7942151,15289;life cycle;life cycle process;software,Content management;IEC Standards;IEEE Standards;ISO Standards;Information technology;Product life cycle management;Software engineering,,,,,,,,,,June 5 2017,,IEEE,IEEE Standards,software
IEEE Standard for High Data Rate Wireless Multi-Media Networks--Amendment 1: High-Rate Close Proximity Point-to-Point Communications,,,IEEE Std 802.15.3e-2017 (Amendment to IEEE Std 802.15.3-2016),20170607,2017,,,1,178,An alternative physical layer (PHY) and a modified medium access control (MAC) layeris defined in this amendment.Two PHY modes have been defined that enable data rates up to 100 Gb/s using the 60 GHz band. MIMO and aggregation methods have been defined to increase the maximum achievable communication speeds. Stack acknowledgment has been defined to improve the medium access control (MAC) efficiency when used in a point-to-point (P2P) topology between two devices.,,Electronic:978-1-5044-4007-3,10.1109/IEEESTD.2017.7942281,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7942281,60 GHz;IEEE 802.15.3(TM);IEEE 802.15.3e(TM);P2P;close proximity;fast setup;millimeter wave;point-to-point;wireless,IEEE Standards;Millimeter wave communication;Multimedia communication;Point-to-point communication;Wireless communication,,,,,,,,,,June 7 2017,,IEEE,IEEE Standards,wireless
IEEE Standard - Health informatics--Personal health device communication - Part 10424: Device Specialization--Sleep Apnoea Breathing Therapy Equipment (SABTE) - Corrigendum 1,,,IEEE Std 11073-10424-2014/Cor 1-2017 (Corrigendum to IEEE Std 11073-10424-2014),20170531,2017,,,1,29,"Within the context of the ISO/IEEE 11073 family of standards for device communication, a normative definition of the communication between sleep apnoea breathing therapy equipment (SABTE) devices (agents) and managers (e.g., cell phones, personal computers, personal health appliances, set-top boxes), in a manner that enables plug-and-play interoperability, is established in IEEE Std 11073-10424-2014. It leverages appropriate portions of existing standards including ISO/IEEE 11073 terminology, information models, application profile standards, and transport standards. It specifies the use of specific term codes, formats, and behaviors in telehealth environments restricting optionality in base frameworks in favor of interoperability. IEEE Std 11073-10424-2014 defines a common core of communication functionality for SABTE. In this context, SABTE is defined as a device that is intended to alleviate the symptoms of a patient who suffers from sleep apnoea by delivering a therapeutic breathing pressure to the patient. SABTE is primarily used in the home health-care environment by a lay operator without direct professional supervision. This corrigendum corrects errors that have been identified in IEEE Std 11073-10424-2014 to make it easier to implement the standard in an interoperable fashion.",,Electronic:978-1-5044-4053-0,10.1109/IEEESTD.2017.7936659,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7936659,IEEE 11073-10424(TM);SABTE;medical device communication;personal health devices;sleep apnoea breathing therapy equipment,Bioinformatics;Biomedical equipment;IEEE Standards;Medical devices;Sleep apnea,IEEE standards;bioinformatics;medical disorders;open systems;patient treatment;sleep,Health Informatics-Personal Health Device Communication;IEEE Std 11073-10424-2014;SABTE devices;Sleep Apnoea Breathing Therapy Equipment;plug-and-play interoperability;therapeutic breathing pressure,,,,,,,,May 23 2017,,IEEE,IEEE Standards,equipment
