Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
"AIEE American Standard for Rotating Electrical Machinery Forming a part of the power equipment on electrically propelled railway cars, railway locomotives, and coaches (Trolley and Prime Mover)",,,AIEE No. 11-1962,20151221,1962,,,1,11,,,,10.1109/IEEESTD.1962.7361722,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7361722,,AIEE Standards;Electric machines;Machinery;Propulsion;Rail transportation;Rotation measurement;Velocity control,,,,,,,,,,Oct. 15 1962,,IEEE,IEEE Standards
"AIEE American Standard for Rotating Electrical Machinery on Railway Locomotives and Rail Cars and Trolley, Gasoline -Electric and Oil- Electric Coaches",,,AIEE No. 11-1943,20151221,1943,,,1,20,"In undertaking the preparation of rules for standards for rotating electrical equipment for railway cars and locomotives under the Rules of Procedure of the American Standards Association, it has been necessary to cover a much wider field than was included in the AIEE Standards for Railway Motors which were published in 1925, approved as American Standards in 1928 and form the basis of this standard. In the first place, the scope of the rules has been changed to include all rotating electrical machinery forming a part of the power equipment of electrically-propelled railway cars and locomotives (including trolley, gasoline-electric and oil-electric coaches). In the second place, it has been found desirable to add new rules covering principally, rating, commutation, and over speed tests. In the third place, the old rules must be brought up-to-date as modern methods of ventilating electrical machinery have changed the situation in many respects. It is therefore felt necessary that some explanatory notes should be added to the rules in order to give the users of the rules a clearer understanding of the reasons for them.",,,10.1109/IEEESTD.1943.7361725,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7361725,,AIEE Standards;Electric machines;Machinery;Propulsion;Rail transportation;Rotation measurement;Velocity control,,,,,,,,,,March 12 1943,,IEEE,IEEE Standards
"AIEE Recommended Practice for the Measurement of Radio Frequency Emission from Industrial, Scientific, and Medical (ISM) Equipment",,,AIEE No 950-1952 (IEEE 139),20160310,1952,,,1,16,"This paper discusses the need for standard measuring method; FCC requirements, committee action symbols, units and abbreviations; measurement methods; antenna design; antenna gain measurement;s associated measuring equipment; measurements on production equipment; and measurement precautions and factors affecting accuracy of measurement.",,,10.1109/IEEESTD.1952.7430216,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7430216,,AIEE Standards;Biomedical equipment;Emissions;Industrial plants;Maintenance engineering;Radio frequency;Scientific equipment,IEEE standards;antennas;gain measurement;magnetic field measurement;measurement standards;production equipment,AIEE No. 950;IEEE 139;antenna design;antenna gain measurements;associated measuring equipment;field intensity measurement;measurement accuracy;measurement precautions;medical equipments;production equipment measurements;radio-frequency industrial equipments;scientific equipments;standard measuring method,,,,,,,,April 10 1952,,IEEE,IEEE Standards
"AIEE Report on Aircraft and Missiles Electric Systems Guide Appendices I, II, and III",,,AIEE No 750.11-1960,20160318,1960,,,1,36,"In conclusion, the application of alternating-current machines requires a working knowledge of the performance characteristics of the generator-regulator combination. Special emphasis should be placed on machine ratings, short-circuit, overvoltage, underspeed and fault power characteristics. Aid in understanding these characteristics is received by a study of synchronous machine analysis, but the detailed investigations performed by the cooperstive effort of the machine and regulator designers relieve the system designer of much of this work by providing characteristics in an immediately usable form.",,,10.1109/IEEESTD.1960.7436715,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7436715,,AIEE Standards;Aerospace electronics;Aircraft;Military equipment;Missiles;System guide;US Department of Defense;Weapons,AC generators;aircraft power systems;missiles;synchronous machines,aircraft electric system;alternating-current machine;fault power characteristics;generator-regulator combination;missile electric system;overvoltage characteristics;short-circuit characteristics;synchronous machine analysis,,,,,,,,Jan. 18 1960,,IEEE,IEEE Standards
"AIEE Report on Aircraft and Missles Electric Systems Guide - Sections 000, 100, 200, and 300",,,AIEE No 750.1-1960,20160318,1960,,,1,12,,,,10.1109/IEEESTD.1960.7436632,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7436632,,AIEE Standards;Aerospace electronics;Aircraft;Missiles;System guide;US Department of Defense;Weapons,,,,,,,,,,Jan. 18 1960,,IEEE,IEEE Standards
"AIEE Standard for Air Switches, Insulator Units, and Bus Supports (Supersedes AIEE No 22- 1942 and 22A- 1949)",,,AIEE No 22-1952 (Supercedes AIEE No. 22-1942 and 22A-1949),20160105,1952,,,1,23,"This standard applies to the following types of devices designed for operation above 600 volts whether for indoor or outdoor service. Air switches such as disconnecting, grounding, etc., for manual or automatic operation. Air interrupter switches. Insulator units and bus supports.",,,10.1109/IEEESTD.1952.7372362,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7372362,,AIEE Standards;Air switches;Insulation testing;Switches;Switching systems,IEEE standards;earthing;insulators;interrupters,AIEE No. 22-1942 standard;AIEE No. 22A-1949 standard;air interrupter switch;bus support;grounding;insulator unit,,,,,,,,July 31 1952,,IEEE,IEEE Standards
"AIEE Transformers, Induction Regulatoes and Reactors (Revised)",,,AIEE No 13-1930,20151222,1930,,,1,22,"The standards in this section apply to: transformers (Exclusive of instrument transformers, auto transformers used as part of auto starters, rectifiers, special testing, series street lighting, sign lighting, ignition, and radio transformers and all small transformers used for special purposes.) Standards for instrument transformers and for constant-current transformers are the subjects of separate sections, voltage regulators (Exclusive of devices for controlling the voltage of generators) and reactors.",,,10.1109/IEEESTD.1930.7361831,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7361831,,AIEE Standards;Induction motors;Power transformers;Reactors;Regulators;Transformers,instrument transformers;reactors (electric);voltage regulators,AIEE transformers;auto starters;constant-current transformers;ignition;induction regulators;instrument transformers;radio transformers;reactors;rectifiers;sign lighting;voltage regulators,,,,,,,,Jan. 12 1930,,IEEE,IEEE Standards
"ASA American National Standard Service Conditions and Definitions for Distribution Cutouts and Fuse Links, Secondary Fuses, Distribution Enclosed Single Pole Air Switches, Power Fuses, Fuse Disconnecting Switches, and Accessories",,,ASA C37.40-1962,20160329,1962,,,1,16,"This standard applies to high voltage fuses (above 600 volts), secondary fuses, distribution enclosed single-pole air switches, and accessories, as follows: (1) Enclosed, open, and open-link types of distribution cutouts and fuses for alternating-current distribution systems. (2) Secondary fuses, 600 volts and below, used on supply circuits. Cartridge-type fuses, rated 600 volts and below, and screw plug fuses are not included. (3) Distribution oil cutouts. (4) Distribution enclosed single-pole air switches. (5) Power fuses for systems or circuits above 600 volts. (6) Outdoor and indoor fuse disconnecting switches. (7) Fuse supports, fuse mountings, fuse hooks, fuse tongs, and fuse links, all of the type used exclusively with products listed in (1), (2), (3), (4), (5), and (6). (8) Removable switch blades for products listed in (1) and (3).",,,10.1109/IEEESTD.1962.7442730,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7442730,,ASA Standards;Fuses;Power distribution;Switching systems;Terminology,electric fuses;switchgear,accessories;alternating-current distribution systems;american national standard service conditions;cartridge-type fuses;distribution enclosed single pole air switches;distribution oil cutouts;fuse disconnecting switches;fuse hooks;fuse links;fuse mountings;fuse supports;fuse tongs;high voltage fuses;indoor fuse disconnecting switches;open-link types;outdoor fuse disconnecting switches;power fuses;removable switch blades;screw plug fuses;secondary fuses;supply circuits,,,,,,,,March 29 1962,,IEEE,IEEE Standards
"ASA American Standard Design Tests for Distribution Cutouts and Fuse Links, Secondary Fuses, Distribution Enclosed Single Pole Air Switches, Power Fuses, Fuse Disconnecting Switches, and Accessories",,,ASA C37.41-1962,20160329,1962,,,1,24,"This standard applies to tests for high voltage fuses I above 600 volts) , secondary fuses, distribution enclosed single-pole air switches, and accessories, as follows: (1) Enclosed, open, and open-link types of distribution cutouts and fuses for alternating-current distribution systems. (2) Secondary fuses, 600 volts and below, used on supply circuits. Cartridge-type fuses, rated 600 volts and below, and screw plug fuses are not included. (3) Distribution oil cutouts. (4) Distribution enclosed single-pole air switches. 15) Power fuses for systems or circuits above 600 volts. (6) Outdoor and indoor fuse disconnecting switches. (7) Fuse supports, fuse mountings, fuse hooks, fuse tongs, and fuse links, all of the type used exclusively with products listed in (1), (2), (3), (4), (5), and (6). (8) Removable switch blades for products listed in (1) and (3).",,,10.1109/IEEESTD.1962.7442721,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7442721,,ASA Standards;Fuses;Power distribution;Switching systems;Terminology,electric fuses;standards,ASA C37.41-1962;alternating-current distribution system;cartridge-type fuse;distribution enclosed single-pole air switch;distribution oil cutout;fuse disconnecting switch;fuse hook;fuse link;fuse mounting;fuse support;fuse tong;power fuse;removable switch blade;screw plug fuse;secondary fuse;voltage 600 V,,,,,,,,March 29 1962,,IEEE,IEEE Standards
"ASA American Standard Specifications for Distribution Fuse Links for Use in Distribution Enclosed, Open, and Open-Link Cutouts",,,ASA C37.43-1962,20160330,1962,,,1,10,"This standard applies to links for high voltage fuses (above 600 volts) for enclose, open, and open-link types of distribution cutouts for ac distribution systems.",,,10.1109/IEEESTD.1962.7444093,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7444093,,ASA Standards;Clamps;Fuses;Manufacturing processes;Open-link cutouts;Power distribution,electric fuses;power distribution protection;standards,ASA C37.43-1962;ac distribution systems;distribution enclosed cutouts;distribution fuse links;distribution open-link cutouts;high voltage fuses,,,,,,,,March 30 1962,,IEEE,IEEE Standards
